target,discovered,wrong letters,number of hits,lives remaining,game won
registry,"['r', 'e', '_', 'i', 's', 't', 'r', '_']","['a', 'n', 'o', 'l', 'd', 'u', 'h', 'p', 'm', 'c']",6,0,False
narcosis,"['n', 'a', 'r', 'c', 'o', 's', 'i', 's']","['e', 't', 'g', 'l']",8,6,True
overcooks,"['o', '_', 'e', 'r', 'c', 'o', 'o', '_', 's']","['i', 'a', 't', 'u', 'd', 'l', 'n', 'p', 'w', 'm']",7,0,False
certifying,"['c', 'e', 'r', 't', 'i', 'f', 'y', 'i', 'n', 'g']","['s', 'a', 'o', 'l', 'd', 'p', 'h', 'u', 'm']",10,1,True
hydrotherapy,"['h', 'y', 'd', 'r', 'o', 't', 'h', 'e', 'r', 'a', 'p', 'y']","['s', 'i', 'n', 'l', 'g', 'c', 'f']",12,3,True
dearer,"['d', 'e', 'a', 'r', 'e', 'r']",['s'],6,9,True
tadpoles,"['t', 'a', 'd', 'p', 'o', 'l', 'e', 's']","['i', 'r', 'n', 'c', 'u']",8,5,True
decoding,"['d', 'e', 'c', 'o', 'd', 'i', 'n', 'g']","['s', 'r', 'l', 't', 'a']",8,5,True
judged,"['_', 'u', 'd', '_', 'e', 'd']","['s', 'r', 'n', 'l', 't', 'a', 'o', 'i', 'p', 'b']",4,0,False
mountainside,"['m', 'o', 'u', 'n', 't', 'a', 'i', 'n', 's', 'i', 'd', 'e']","['r', 'l', 'c', 'g']",12,6,True
biochemicals,"['_', 'i', 'o', 'c', 'h', 'e', 'm', 'i', 'c', 'a', 'l', 's']","['r', 'n', 't', 'd', 'y', 'p', 'f', 'k', 'u', 'g']",11,0,False
new,"['n', 'e', 'w']","['s', 'a', 'o', 'i', 'u', 'y', 't', 'r', 'l']",3,1,True
programmable,"['p', 'r', 'o', 'g', 'r', 'a', 'm', 'm', 'a', 'b', 'l', 'e']","['s', 'i', 'n', 't', 'd', 'h']",12,4,True
unspeakably,"['u', 'n', 's', 'p', 'e', 'a', 'k', 'a', 'b', 'l', 'y']","['i', 'r', 'o', 't', 'd', 'm', 'h']",11,3,True
slummed,"['s', 'l', 'u', 'm', 'm', 'e', 'd']","['i', 'a', 'o', 'r', 't', 'c', 'n']",7,3,True
hydraulic,"['h', 'y', 'd', 'r', 'a', 'u', 'l', 'i', 'c']","['e', 's', 'n', 'o', 't', 'm', 'p']",9,3,True
lounging,"['l', 'o', 'u', 'n', 'g', 'i', 'n', 'g']","['e', 'a', 's']",8,7,True
intercessors,"['i', 'n', 't', 'e', 'r', 'c', 'e', 's', 's', 'o', 'r', 's']",['a'],12,9,True
seizure,"['s', 'e', 'i', '_', 'u', 'r', 'e']","['a', 'o', 'n', 't', 'd', 'l', 'p', 'm', 'h', 'b']",6,0,False
soaked,"['s', 'o', 'a', '_', 'e', 'd']","['i', 'r', 'l', 't', 'n', 'u', 'c', 'p', 'b', 'h']",5,0,False
agitation,"['a', 'g', 'i', 't', 'a', 't', 'i', 'o', 'n']","['e', 's', 'l', 'r']",9,6,True
trefoils,"['t', 'r', 'e', 'f', 'o', 'i', 'l', 's']","['a', 'n', 'd', 'u', 'p', 'c', 'h', 'm']",8,2,True
whizzes,"['_', 'h', 'i', '_', '_', 'e', 's']","['a', 'r', 'n', 'l', 't', 'd', 'o', 'u', 'c', 'g']",4,0,False
misbegotten,"['m', 'i', 's', '_', 'e', 'g', 'o', 't', 't', 'e', 'n']","['a', 'r', 'l', 'c', 'd', 'u', 'h', 'p', 'v', 'f']",10,0,False
savings,"['s', 'a', '_', 'i', 'n', 'g', 's']","['e', 'o', 'l', 't', 'r', 'u', 'p', 'h', 'd', 'c']",6,0,False
winter,"['_', 'i', 'n', 't', 'e', 'r']","['s', 'a', 'o', 'd', 'l', 'u', 'g', 'c', 'p', 'h']",5,0,False
showier,"['s', 'h', 'o', '_', 'i', 'e', 'r']","['a', 'n', 't', 'd', 'l', 'u', 'p', 'c', 'b', 'm']",6,0,False
girdles,"['g', 'i', 'r', 'd', 'l', 'e', 's']","['a', 'o', 'n', 't', 'u', 'p', 'c']",7,3,True
fantasied,"['f', 'a', 'n', 't', 'a', 's', 'i', 'e', 'd']","['r', 'l', 'o', 'c', 'g', 'm', 'u', 'h', 'p']",9,1,True
overhauled,"['o', 'v', 'e', 'r', 'h', 'a', 'u', 'l', 'e', 'd']","['s', 'i', 'n', 't', 'b', 'p', 'c', 'm', 'f']",10,1,True
spaceman,"['s', 'p', 'a', 'c', 'e', '_', 'a', 'n']","['i', 'r', 'o', 'l', 't', 'd', 'u', 'h', 'k', 'b']",7,0,False
stuccoing,"['s', 't', 'u', 'c', 'c', 'o', 'i', 'n', 'g']","['e', 'a', 'l', 'r']",9,6,True
figureheads,"['f', 'i', 'g', 'u', 'r', 'e', 'h', 'e', 'a', 'd', 's']","['n', 't', 'l', 'o', 'c', 'p', 'm', 'b', 'v']",11,1,True
wrecked,"['_', 'r', 'e', 'c', '_', 'e', 'd']","['s', 'i', 'a', 'o', 'u', 't', 'l', 'n', 'p', 'h']",5,0,False
glower,"['_', 'l', 'o', '_', 'e', 'r']","['s', 'a', 'i', 'd', 't', 'u', 'n', 'c', 'b', 'p']",4,0,False
giants,"['g', 'i', 'a', 'n', 't', 's']","['e', 'o', 'r', 'l']",6,6,True
phony,"['_', 'h', 'o', '_', 'y']","['e', 's', 'a', 'i', 'u', 'r', 'l', 't', 'c', 'b']",3,0,False
owe,"['o', 'w', 'e']","['s', 'a', 'i', 'u', 't']",3,5,True
triennials,"['t', 'r', 'i', 'e', 'n', 'n', 'i', 'a', 'l', 's']",['o'],10,9,True
jinnis,"['_', 'i', 'n', 'n', 'i', 's']","['e', 'a', 'o', 'u', 't', 'l', 'g', 'c', 'r', 'y']",5,0,False
watchword,"['w', 'a', 't', 'c', 'h', 'w', 'o', 'r', 'd']","['e', 'i', 's', 'l', 'u', 'm']",9,4,True
dissecting,"['d', 'i', 's', 's', 'e', 'c', 't', 'i', 'n', 'g']","['a', 'o', 'r', 'l']",10,6,True
evanescent,"['e', 'v', 'a', 'n', 'e', 's', 'c', 'e', 'n', 't']","['i', 'r', 'l', 'o', 'd', 'u', 'm', 'k', 'p']",10,1,True
pounced,"['_', 'o', 'u', 'n', 'c', 'e', 'd']","['s', 'i', 'a', 'r', 'l', 't', 'h', 'm', 'b', 'y']",6,0,False
silage,"['s', 'i', 'l', 'a', '_', 'e']","['r', 'n', 'd', 't', 'o', 'c', 'u', 'm', 'p', 'b']",5,0,False
renovate,"['r', 'e', 'n', 'o', '_', 'a', 't', 'e']","['s', 'i', 'd', 'l', 'c', 'm', 'b', 'p', 'g', 'w']",7,0,False
lifelike,"['l', 'i', '_', 'e', 'l', 'i', '_', 'e']","['s', 'n', 'r', 'a', 'd', 'o', 't', 'b', 'y', 'u']",6,0,False
transubstantiation,"['t', 'r', 'a', 'n', 's', 'u', 'b', 's', 't', 'a', 'n', 't', 'i', 'a', 't', 'i', 'o', 'n']","['e', 'c', 'l']",18,7,True
droops,"['d', 'r', 'o', 'o', 'p', 's']","['e', 'a', 'i', 'u', 't', 'l', 'c', 'n', 'w']",6,1,True
columbine,"['c', 'o', 'l', 'u', 'm', 'b', 'i', 'n', 'e']","['s', 'r', 'a', 't', 'g', 'd', 'h']",9,3,True
epilogue,"['e', '_', 'i', 'l', 'o', 'g', '_', 'e']","['s', 'n', 'r', 'a', 'd', 't', 'y', 'b', 'h', 'f']",6,0,False
pennant,"['_', 'e', 'n', 'n', 'a', 'n', 't']","['s', 'i', 'r', 'd', 'l', 'o', 'c', 'g', 'm', 'h']",6,0,False
