target,discovered,wrong letters,number of hits,lives remaining,game won
warty,"['_', 'a', '_', '_', '_']","['b', 'c', 'd', 'e', 'f', 'g', 'h', 'i', 'j', 'k']",1,0,False
grotesque,"['g', '_', '_', '_', 'e', '_', '_', '_', 'e']","['a', 'b', 'c', 'd', 'f', 'h', 'i', 'j', 'k', 'l']",3,0,False
fancily,"['f', 'a', 'n', 'c', 'i', 'l', '_']","['b', 'd', 'e', 'g', 'h', 'j', 'k', 'm', 'o', 'p']",6,0,False
convolution,"['c', '_', '_', '_', '_', 'l', '_', '_', 'i', '_', '_']","['a', 'b', 'd', 'e', 'f', 'g', 'h', 'j', 'k', 'm']",3,0,False
slimness,"['_', 'l', 'i', 'm', 'n', 'e', '_', '_']","['a', 'b', 'c', 'd', 'f', 'g', 'h', 'j', 'k', 'o']",5,0,False
cochleas,"['c', 'o', 'c', 'h', 'l', 'e', 'a', '_']","['b', 'd', 'f', 'g', 'i', 'j', 'k', 'm', 'n', 'p']",7,0,False
airliners,"['a', 'i', '_', 'l', 'i', 'n', 'e', '_', '_']","['b', 'c', 'd', 'f', 'g', 'h', 'j', 'k', 'm', 'o']",6,0,False
fireworks,"['f', 'i', '_', 'e', '_', '_', '_', 'k', '_']","['a', 'b', 'c', 'd', 'g', 'h', 'j', 'l', 'm', 'n']",4,0,False
platelet,"['_', 'l', 'a', '_', 'e', 'l', 'e', '_']","['b', 'c', 'd', 'f', 'g', 'h', 'i', 'j', 'k', 'm']",5,0,False
eatery,"['e', 'a', '_', 'e', '_', '_']","['b', 'c', 'd', 'f', 'g', 'h', 'i', 'j', 'k', 'l']",3,0,False
chains,"['c', 'h', 'a', 'i', 'n', '_']","['b', 'd', 'e', 'f', 'g', 'j', 'k', 'l', 'm', 'o']",5,0,False
supernova,"['_', '_', '_', 'e', '_', '_', '_', '_', 'a']","['b', 'c', 'd', 'f', 'g', 'h', 'i', 'j', 'k', 'l']",2,0,False
finnier,"['f', 'i', '_', '_', 'i', 'e', '_']","['a', 'b', 'c', 'd', 'g', 'h', 'j', 'k', 'l', 'm']",4,0,False
pavings,"['_', 'a', '_', 'i', '_', 'g', '_']","['b', 'c', 'd', 'e', 'f', 'h', 'j', 'k', 'l', 'm']",3,0,False
brownstone,"['b', '_', '_', '_', '_', '_', '_', '_', '_', 'e']","['a', 'c', 'd', 'f', 'g', 'h', 'i', 'j', 'k', 'l']",2,0,False
synchronises,"['_', '_', 'n', 'c', 'h', '_', 'o', 'n', 'i', '_', 'e', '_']","['a', 'b', 'd', 'f', 'g', 'j', 'k', 'l', 'm', 'p']",7,0,False
appendectomies,"['a', 'p', 'p', 'e', 'n', 'd', 'e', 'c', 't', 'o', 'm', 'i', 'e', 's']","['b', 'f', 'g', 'h', 'j', 'k', 'l', 'q', 'r']",14,1,True
oiliness,"['_', 'i', 'l', 'i', '_', 'e', '_', '_']","['a', 'b', 'c', 'd', 'f', 'g', 'h', 'j', 'k', 'm']",4,0,False
telephones,"['_', 'e', 'l', 'e', '_', 'h', '_', '_', 'e', '_']","['a', 'b', 'c', 'd', 'f', 'g', 'i', 'j', 'k', 'm']",5,0,False
submerging,"['_', '_', 'b', 'm', 'e', '_', 'g', 'i', 'n', 'g']","['a', 'c', 'd', 'f', 'h', 'j', 'k', 'l', 'o', 'p']",7,0,False
perspicuity,"['_', 'e', '_', '_', '_', 'i', 'c', '_', 'i', '_', '_']","['a', 'b', 'd', 'f', 'g', 'h', 'j', 'k', 'l', 'm']",4,0,False
kinematic,"['k', 'i', 'n', 'e', 'm', 'a', '_', 'i', 'c']","['b', 'd', 'f', 'g', 'h', 'j', 'l', 'o', 'p', 'q']",8,0,False
admirably,"['a', 'd', 'm', 'i', '_', 'a', 'b', 'l', '_']","['c', 'e', 'f', 'g', 'h', 'j', 'k', 'n', 'o', 'p']",7,0,False
nonseasonal,"['_', '_', '_', '_', 'e', 'a', '_', '_', '_', 'a', 'l']","['b', 'c', 'd', 'f', 'g', 'h', 'i', 'j', 'k', 'm']",4,0,False
sprockets,"['_', '_', '_', '_', 'c', 'k', 'e', '_', '_']","['a', 'b', 'd', 'f', 'g', 'h', 'i', 'j', 'l', 'm']",3,0,False
billy,"['b', 'i', 'l', 'l', '_']","['a', 'c', 'd', 'e', 'f', 'g', 'h', 'j', 'k', 'm']",4,0,False
palomino,"['p', 'a', 'l', 'o', 'm', 'i', 'n', 'o']","['b', 'c', 'd', 'e', 'f', 'g', 'h', 'j', 'k']",8,1,True
mongolism,"['m', 'o', 'n', 'g', 'o', 'l', 'i', '_', 'm']","['a', 'b', 'c', 'd', 'e', 'f', 'h', 'j', 'k', 'p']",8,0,False
drover,"['d', '_', '_', '_', 'e', '_']","['a', 'b', 'c', 'f', 'g', 'h', 'i', 'j', 'k', 'l']",2,0,False
