target,discovered,wrong letters,number of hits,lives remaining,game won
boxes,"['_', 'o', '_', 'e', 's']","['t', 'a', 'i', 'h', 'n', 'r', 'd', 'l', 'u', 'm']",3,0,False
fosters,"['_', 'o', 's', 't', 'e', 'r', 's']","['a', 'i', 'h', 'n', 'd', 'l', 'u', 'm', 'w', 'c']",6,0,False
cascades,"['_', 'a', 's', '_', 'a', 'd', 'e', 's']","['t', 'o', 'i', 'h', 'n', 'r', 'l', 'u', 'm', 'w']",6,0,False
domineering,"['d', 'o', 'm', 'i', 'n', 'e', 'e', 'r', 'i', 'n', '_']","['t', 'a', 'h', 's', 'l', 'u', 'w', 'c', 'y', 'f']",10,0,False
lobbyists,"['l', 'o', '_', '_', '_', 'i', 's', 't', 's']","['e', 'a', 'h', 'n', 'r', 'd', 'u', 'm', 'w', 'c']",6,0,False
syndicate,"['s', 'y', 'n', 'd', 'i', 'c', 'a', 't', 'e']","['o', 'h', 'r', 'l', 'u', 'm', 'w']",9,3,True
chivalry,"['c', 'h', 'i', '_', 'a', 'l', 'r', 'y']","['e', 't', 'o', 'n', 's', 'd', 'u', 'm', 'w', 'f']",7,0,False
whimsical,"['w', 'h', 'i', 'm', 's', 'i', 'c', 'a', 'l']","['e', 't', 'o', 'n', 'r', 'd', 'u']",9,3,True
bookkeeping,"['_', 'o', 'o', '_', '_', 'e', 'e', '_', 'i', 'n', '_']","['t', 'a', 'h', 's', 'r', 'd', 'l', 'u', 'm', 'w']",6,0,False
notation,"['n', 'o', 't', 'a', 't', 'i', 'o', 'n']","['e', 'h']",8,8,True
misguiding,"['m', 'i', 's', '_', 'u', 'i', 'd', 'i', 'n', '_']","['e', 't', 'a', 'o', 'h', 'r', 'l', 'w', 'c', 'y']",8,0,False
burgeon,"['_', 'u', 'r', '_', 'e', 'o', 'n']","['t', 'a', 'i', 'h', 's', 'd', 'l', 'm', 'w', 'c']",5,0,False
restively,"['r', 'e', 's', 't', 'i', '_', 'e', 'l', 'y']","['a', 'o', 'h', 'n', 'd', 'u', 'm', 'w', 'c', 'f']",8,0,False
stew,"['s', 't', 'e', '_']","['a', 'o', 'i', 'h', 'n', 'r', 'd', 'l', 'u', 'm']",3,0,False
villein,"['_', 'i', 'l', 'l', 'e', 'i', 'n']","['t', 'a', 'o', 'h', 's', 'r', 'd', 'u', 'm', 'w']",6,0,False
refracts,"['r', 'e', '_', 'r', 'a', 'c', 't', 's']","['o', 'i', 'h', 'n', 'd', 'l', 'u', 'm', 'w', 'y']",7,0,False
referred,"['r', 'e', '_', 'e', 'r', 'r', 'e', 'd']","['t', 'a', 'o', 'i', 'h', 'n', 's', 'l', 'u', 'm']",7,0,False
augured,"['a', 'u', '_', 'u', 'r', 'e', 'd']","['t', 'o', 'i', 'h', 'n', 's', 'l', 'm', 'w', 'c']",6,0,False
barbeques,"['_', 'a', 'r', '_', 'e', '_', 'u', 'e', 's']","['t', 'o', 'i', 'h', 'n', 'd', 'l', 'm', 'w', 'c']",6,0,False
admirable,"['a', 'd', 'm', 'i', 'r', 'a', '_', 'l', 'e']","['t', 'o', 'h', 'n', 's', 'u', 'w', 'c', 'y', 'f']",8,0,False
brine,"['_', 'r', 'i', 'n', 'e']","['t', 'a', 'o', 'h', 's', 'd', 'l', 'u', 'm', 'w']",4,0,False
beggarly,"['_', 'e', '_', '_', 'a', 'r', 'l', '_']","['t', 'o', 'i', 'h', 'n', 's', 'd', 'u', 'm', 'w']",4,0,False
totem,"['t', 'o', 't', 'e', 'm']","['a', 'i', 'h', 'n', 's', 'r', 'd', 'l', 'u']",5,1,True
calendaring,"['c', 'a', 'l', 'e', 'n', 'd', 'a', 'r', 'i', 'n', 'g']","['t', 'o', 'h', 's', 'u', 'm', 'w', 'y', 'f']",11,1,True
bullet,"['_', 'u', 'l', 'l', 'e', 't']","['a', 'o', 'i', 'h', 'n', 's', 'r', 'd', 'm', 'w']",5,0,False
posting,"['_', 'o', 's', 't', 'i', 'n', '_']","['e', 'a', 'h', 'r', 'd', 'l', 'u', 'm', 'w', 'c']",5,0,False
mystifying,"['m', '_', 's', 't', 'i', '_', '_', 'i', 'n', '_']","['e', 'a', 'o', 'h', 'r', 'd', 'l', 'u', 'w', 'c']",6,0,False
clarion,"['c', 'l', 'a', 'r', 'i', 'o', 'n']","['e', 't', 'h', 's', 'd', 'u', 'm', 'w']",7,2,True
comma,"['_', 'o', '_', '_', 'a']","['e', 't', 'i', 'h', 'n', 's', 'r', 'd', 'l', 'u']",2,0,False
enlargement,"['e', 'n', 'l', 'a', 'r', '_', 'e', 'm', 'e', 'n', 't']","['o', 'i', 'h', 's', 'd', 'u', 'w', 'c', 'y', 'f']",10,0,False
counterrevolution,"['c', 'o', 'u', 'n', 't', 'e', 'r', 'r', 'e', '_', 'o', 'l', 'u', 't', 'i', 'o', 'n']","['a', 'h', 's', 'd', 'm', 'w', 'y', 'f', 'g', 'p']",16,0,False
intolerant,"['i', 'n', 't', 'o', 'l', 'e', 'r', 'a', 'n', 't']","['h', 's', 'd']",10,7,True
regional,"['r', 'e', '_', 'i', 'o', 'n', 'a', 'l']","['t', 'h', 's', 'd', 'u', 'm', 'w', 'c', 'y', 'f']",7,0,False
profited,"['_', 'r', 'o', '_', 'i', 't', 'e', 'd']","['a', 'h', 'n', 's', 'l', 'u', 'm', 'w', 'c', 'y']",6,0,False
rouged,"['r', 'o', 'u', '_', 'e', 'd']","['t', 'a', 'i', 'h', 'n', 's', 'l', 'm', 'w', 'c']",5,0,False
maintainability,"['m', 'a', 'i', 'n', 't', 'a', 'i', 'n', 'a', '_', 'i', 'l', 'i', 't', 'y']","['e', 'o', 'h', 's', 'r', 'd', 'u', 'w', 'c', 'f']",14,0,False
charitable,"['c', 'h', 'a', 'r', 'i', 't', 'a', '_', 'l', 'e']","['o', 'n', 's', 'd', 'u', 'm', 'w', 'y', 'f', 'g']",9,0,False
rusted,"['r', 'u', 's', 't', 'e', 'd']","['a', 'o', 'i', 'h', 'n', 'l']",6,4,True
welding,"['w', 'e', 'l', 'd', 'i', 'n', '_']","['t', 'a', 'o', 'h', 's', 'r', 'u', 'm', 'c', 'y']",6,0,False
cubs,"['_', '_', '_', 's']","['e', 't', 'a', 'o', 'i', 'h', 'n', 'r', 'd', 'l']",1,0,False
cosies,"['_', 'o', 's', 'i', 'e', 's']","['t', 'a', 'h', 'n', 'r', 'd', 'l', 'u', 'm', 'w']",5,0,False
defrauds,"['d', 'e', '_', 'r', 'a', 'u', 'd', 's']","['t', 'o', 'i', 'h', 'n', 'l', 'm', 'w', 'c', 'y']",7,0,False
underpin,"['u', 'n', 'd', 'e', 'r', '_', 'i', 'n']","['t', 'a', 'o', 'h', 's', 'l', 'm', 'w', 'c', 'y']",7,0,False
mintiest,"['m', 'i', 'n', 't', 'i', 'e', 's', 't']","['a', 'o', 'h', 'r', 'd', 'l', 'u']",8,3,True
surpass,"['s', 'u', 'r', '_', 'a', 's', 's']","['e', 't', 'o', 'i', 'h', 'n', 'd', 'l', 'm', 'w']",6,0,False
bevellings,"['_', 'e', '_', 'e', 'l', 'l', 'i', 'n', '_', 's']","['t', 'a', 'o', 'h', 'r', 'd', 'u', 'm', 'w', 'c']",7,0,False
headed,"['h', 'e', 'a', 'd', 'e', 'd']","['t', 'o', 'i', 'n', 's', 'r']",6,4,True
jackboots,"['_', 'a', '_', '_', '_', 'o', 'o', 't', 's']","['e', 'i', 'h', 'n', 'r', 'd', 'l', 'u', 'm', 'w']",5,0,False
defers,"['d', 'e', '_', 'e', 'r', 's']","['t', 'a', 'o', 'i', 'h', 'n', 'l', 'u', 'm', 'w']",5,0,False
grinds,"['_', 'r', 'i', 'n', 'd', 's']","['e', 't', 'a', 'o', 'h', 'l', 'u', 'm', 'w', 'c']",5,0,False
stairwells,"['s', 't', 'a', 'i', 'r', 'w', 'e', 'l', 'l', 's']","['o', 'h', 'n', 'd', 'u', 'm']",10,4,True
wriggliest,"['w', 'r', 'i', '_', '_', 'l', 'i', 'e', 's', 't']","['a', 'o', 'h', 'n', 'd', 'u', 'm', 'c', 'y', 'f']",8,0,False
embraces,"['e', 'm', '_', 'r', 'a', 'c', 'e', 's']","['t', 'o', 'i', 'h', 'n', 'd', 'l', 'u', 'w', 'y']",7,0,False
grimmer,"['_', 'r', 'i', 'm', 'm', 'e', 'r']","['t', 'a', 'o', 'h', 'n', 's', 'd', 'l', 'u', 'w']",6,0,False
waken,"['_', 'a', '_', 'e', 'n']","['t', 'o', 'i', 'h', 's', 'r', 'd', 'l', 'u', 'm']",3,0,False
vegans,"['_', 'e', '_', 'a', 'n', 's']","['t', 'o', 'i', 'h', 'r', 'd', 'l', 'u', 'm', 'w']",4,0,False
cutthroat,"['c', 'u', 't', 't', 'h', 'r', 'o', 'a', 't']","['e', 'i', 'n', 's', 'd', 'l', 'm', 'w']",9,2,True
peculiarly,"['_', 'e', 'c', 'u', 'l', 'i', 'a', 'r', 'l', 'y']","['t', 'o', 'h', 'n', 's', 'd', 'm', 'w', 'f', 'g']",9,0,False
vapid,"['_', 'a', '_', 'i', 'd']","['e', 't', 'o', 'h', 'n', 's', 'r', 'l', 'u', 'm']",3,0,False
hypocrisies,"['h', 'y', '_', 'o', 'c', 'r', 'i', 's', 'i', 'e', 's']","['t', 'a', 'n', 'd', 'l', 'u', 'm', 'w', 'f', 'g']",10,0,False
notified,"['n', 'o', 't', 'i', '_', 'i', 'e', 'd']","['a', 'h', 's', 'r', 'l', 'u', 'm', 'w', 'c', 'y']",7,0,False
tightwad,"['t', 'i', '_', 'h', 't', 'w', 'a', 'd']","['e', 'o', 'n', 's', 'r', 'l', 'u', 'm', 'c', 'y']",7,0,False
semiskilled,"['s', 'e', 'm', 'i', 's', '_', 'i', 'l', 'l', 'e', 'd']","['t', 'a', 'o', 'h', 'n', 'r', 'u', 'w', 'c', 'y']",10,0,False
departments,"['d', 'e', '_', 'a', 'r', 't', 'm', 'e', 'n', 't', 's']","['o', 'i', 'h', 'l', 'u', 'w', 'c', 'y', 'f', 'g']",10,0,False
quarantines,"['_', 'u', 'a', 'r', 'a', 'n', 't', 'i', 'n', 'e', 's']","['o', 'h', 'd', 'l', 'm', 'w', 'c', 'y', 'f', 'g']",10,0,False
nuder,"['n', 'u', 'd', 'e', 'r']","['t', 'a', 'o', 'i', 'h', 's', 'l']",5,3,True
premeditated,"['_', 'r', 'e', 'm', 'e', 'd', 'i', 't', 'a', 't', 'e', 'd']","['o', 'h', 'n', 's', 'l', 'u', 'w', 'c', 'y', 'f']",11,0,False
unsafest,"['u', 'n', 's', 'a', '_', 'e', 's', 't']","['o', 'i', 'h', 'r', 'd', 'l', 'm', 'w', 'c', 'y']",7,0,False
combustion,"['c', 'o', 'm', '_', 'u', 's', 't', 'i', 'o', 'n']","['e', 'a', 'h', 'r', 'd', 'l', 'w', 'y', 'f', 'g']",9,0,False
tame,"['t', 'a', 'm', 'e']","['o', 'i', 'h', 'n', 's', 'r', 'd', 'l', 'u']",4,1,True
expectorants,"['e', '_', '_', 'e', 'c', 't', 'o', 'r', 'a', 'n', 't', 's']","['i', 'h', 'd', 'l', 'u', 'm', 'w', 'y', 'f', 'g']",10,0,False
slippages,"['s', 'l', 'i', '_', '_', 'a', '_', 'e', 's']","['t', 'o', 'h', 'n', 'r', 'd', 'u', 'm', 'w', 'c']",6,0,False
